TSA_ID,TSA_Name,Date,DailyCount,DailyDelta,LastUpdateDate
A,Amarillo,2020-04-12,613,,2020-07-25
A,Amarillo,2020-04-13,251,-362,2020-07-25
A,Amarillo,2020-04-14,571,320,2020-07-25
A,Amarillo,2020-04-15,519,-52,2020-07-25
A,Amarillo,2020-04-16,668,149,2020-07-25
A,Amarillo,2020-04-17,645,-23,2020-07-25
A,Amarillo,2020-04-18,638,-7,2020-07-25
A,Amarillo,2020-04-19,548,-90,2020-07-25
A,Amarillo,2020-04-20,572,24,2020-07-25
A,Amarillo,2020-04-21,572,0,2020-07-25
A,Amarillo,2020-04-22,527,-45,2020-07-25
A,Amarillo,2020-04-23,504,-23,2020-07-25
A,Amarillo,2020-04-24,534,30,2020-07-25
A,Amarillo,2020-04-25,479,-55,2020-07-25
A,Amarillo,2020-04-26,462,-17,2020-07-25
A,Amarillo,2020-04-27,468,6,2020-07-25
A,Amarillo,2020-04-28,432,-36,2020-07-25
A,Amarillo,2020-04-29,434,2,2020-07-25
A,Amarillo,2020-04-30,586,152,2020-07-25
A,Amarillo,2020-05-01,582,-4,2020-07-25
A,Amarillo,2020-05-02,477,-105,2020-07-25
A,Amarillo,2020-05-03,468,-9,2020-07-25
A,Amarillo,2020-05-04,466,-2,2020-07-25
A,Amarillo,2020-05-05,475,9,2020-07-25
A,Amarillo,2020-05-06,464,-11,2020-07-25
A,Amarillo,2020-05-07,532,68,2020-07-25
A,Amarillo,2020-05-08,507,-25,2020-07-25
A,Amarillo,2020-05-09,508,1,2020-07-25
A,Amarillo,2020-05-10,481,-27,2020-07-25
A,Amarillo,2020-05-11,478,-3,2020-07-25
A,Amarillo,2020-05-12,495,17,2020-07-25
A,Amarillo,2020-05-13,482,-13,2020-07-25
A,Amarillo,2020-05-14,455,-27,2020-07-25
A,Amarillo,2020-05-15,526,71,2020-07-25
A,Amarillo,2020-05-16,516,-10,2020-07-25
A,Amarillo,2020-05-17,511,-5,2020-07-25
A,Amarillo,2020-05-18,455,-56,2020-07-25
A,Amarillo,2020-05-19,457,2,2020-07-25
A,Amarillo,2020-05-20,423,-34,2020-07-25
A,Amarillo,2020-05-21,487,64,2020-07-25
A,Amarillo,2020-05-22,486,-1,2020-07-25
A,Amarillo,2020-05-23,450,-36,2020-07-25
A,Amarillo,2020-05-24,476,26,2020-07-25
A,Amarillo,2020-05-25,483,7,2020-07-25
A,Amarillo,2020-05-26,479,-4,2020-07-25
A,Amarillo,2020-05-27,474,-5,2020-07-25
A,Amarillo,2020-05-28,495,21,2020-07-25
A,Amarillo,2020-05-29,447,-48,2020-07-25
A,Amarillo,2020-05-30,399,-48,2020-07-25
A,Amarillo,2020-05-31,404,5,2020-07-25
A,Amarillo,2020-06-01,415,11,2020-07-25
A,Amarillo,2020-06-02,401,-14,2020-07-25
A,Amarillo,2020-06-03,385,-16,2020-07-25
A,Amarillo,2020-06-04,373,-12,2020-07-25
A,Amarillo,2020-06-05,378,5,2020-07-25
A,Amarillo,2020-06-06,462,84,2020-07-25
