County,Date,DailyCount_cases,DailyDelta_cases,DailyCount_tests,DailyDelta_tests,DailyCount_deaths,DailyDelta_deaths,LastUpdateDate
Anderson,2020-03-04,0,,,,,,2020-11-26
Anderson,2020-03-05,0,0,,,,,2020-11-26
Anderson,2020-03-06,0,0,,,,,2020-11-26
Anderson,2020-03-09,0,0,,,0,0,2020-11-26
Anderson,2020-03-10,0,0,,,0,0,2020-11-26
Anderson,2020-03-11,0,0,,,0,0,2020-11-26
Anderson,2020-03-12,0,0,,,0,0,2020-11-26
Anderson,2020-03-13,0,0,,,0,0,2020-11-26
Anderson,2020-03-15,0,0,,,0,0,2020-11-26
Anderson,2020-03-16,0,0,,,0,0,2020-11-26
Anderson,2020-03-17,0,0,,,0,0,2020-11-26
Anderson,2020-03-18,0,0,,,0,0,2020-11-26
Anderson,2020-03-19,0,0,,,0,0,2020-11-26
Anderson,2020-03-20,0,0,,,0,0,2020-11-26
Anderson,2020-03-21,0,0,,,0,0,2020-11-26
Anderson,2020-03-22,0,0,,,0,0,2020-11-26
Anderson,2020-03-23,0,0,,,0,0,2020-11-26
Anderson,2020-03-24,0,0,,,0,0,2020-11-26
Anderson,2020-03-25,0,0,,,0,0,2020-11-26
Anderson,2020-03-26,0,0,,,0,0,2020-11-26
Anderson,2020-03-27,0,0,,,0,0,2020-11-26
Anderson,2020-03-28,0,0,,,0,0,2020-11-26
Anderson,2020-03-29,0,0,,,0,0,2020-11-26
Anderson,2020-03-30,0,0,,,0,0,2020-11-26
Anderson,2020-03-31,0,0,,,0,0,2020-11-26
Anderson,2020-04-01,1,1,,,0,0,2020-11-26
Anderson,2020-04-02,1,0,,,0,0,2020-11-26
Anderson,2020-04-03,1,0,,,0,0,2020-11-26
Anderson,2020-04-04,1,0,,,0,0,2020-11-26
Anderson,2020-04-05,1,0,,,0,0,2020-11-26
Anderson,2020-04-06,1,0,,,0,0,2020-11-26
Anderson,2020-04-07,1,0,,,0,0,2020-11-26
Anderson,2020-04-08,1,0,,,0,0,2020-11-26
Anderson,2020-04-09,2,1,,,0,0,2020-11-26
Anderson,2020-04-10,2,0,,,0,0,2020-11-26
Anderson,2020-04-11,3,1,,,0,0,2020-11-26
Anderson,2020-04-12,3,0,,,0,0,2020-11-26
Anderson,2020-04-13,3,0,,,1,1,2020-11-26
Anderson,2020-04-14,3,0,,,1,0,2020-11-26
Anderson,2020-04-15,4,1,,,1,0,2020-11-26
Anderson,2020-04-16,6,2,,,1,0,2020-11-26
Anderson,2020-04-17,6,0,,,1,0,2020-11-26
Anderson,2020-04-18,6,0,,,1,0,2020-11-26
Anderson,2020-04-19,8,2,,,1,0,2020-11-26
Anderson,2020-04-20,8,0,,,1,0,2020-11-26
Anderson,2020-04-21,10,2,270,,1,0,2020-11-26
Anderson,2020-04-22,14,4,282,12,1,0,2020-11-26
Anderson,2020-04-23,14,0,297,15,1,0,2020-11-26
Anderson,2020-04-24,16,2,329,32,1,0,2020-11-26
Anderson,2020-04-25,16,0,337,8,1,0,2020-11-26
Anderson,2020-04-26,18,2,337,0,1,0,2020-11-26
Anderson,2020-04-27,19,1,360,23,1,0,2020-11-26
Anderson,2020-04-28,23,4,360,0,1,0,2020-11-26
Anderson,2020-04-29,23,0,397,37,1,0,2020-11-26
Anderson,2020-04-30,29,6,416,19,1,0,2020-11-26
Anderson,2020-05-01,30,1,415,-1,1,0,2020-11-26
Anderson,2020-05-02,32,2,430,15,1,0,2020-11-26
Anderson,2020-05-03,32,0,431,1,1,0,2020-11-26
Anderson,2020-05-04,32,0,458,27,1,0,2020-11-26
Anderson,2020-05-05,34,2,,,1,0,2020-11-26
Anderson,2020-05-06,38,4,592,134,1,0,2020-11-26
Anderson,2020-05-07,40,2,621,29,1,0,2020-11-26
Anderson,2020-05-08,41,1,658,37,1,0,2020-11-26
Anderson,2020-05-09,41,0,677,19,1,0,2020-11-26
Anderson,2020-05-10,41,0,710,33,1,0,2020-11-26
Anderson,2020-05-11,41,0,724,14,1,0,2020-11-26
Anderson,2020-05-12,50,9,786,62,1,0,2020-11-26
Anderson,2020-05-13,50,0,800,14,1,0,2020-11-26
Anderson,2020-05-14,51,1,822,22,1,0,2020-11-26
Anderson,2020-05-15,52,1,824,2,1,0,2020-11-26
Anderson,2020-05-16,54,2,836,12,1,0,2020-11-26
Anderson,2020-05-17,54,0,857,21,1,0,2020-11-26
Anderson,2020-05-18,54,0,1008,151,1,0,2020-11-26
Anderson,2020-05-19,60,6,1034,26,1,0,2020-11-26
Anderson,2020-05-20,61,1,1046,12,1,0,2020-11-26
Anderson,2020-05-21,63,2,1057,11,1,0,2020-11-26
Anderson,2020-05-22,64,1,1094,37,1,0,2020-11-26
Anderson,2020-05-23,66,2,,,1,0,2020-11-26
Anderson,2020-05-24,66,0,1152,58,1,0,2020-11-26
Anderson,2020-05-25,66,0,1160,8,1,0,2020-11-26
Anderson,2020-05-26,66,0,1165,5,2,1,2020-11-26
Anderson,2020-05-27,66,0,1167,2,2,0,2020-11-26
Anderson,2020-05-28,66,0,1176,9,3,1,2020-11-26
Anderson,2020-05-29,72,6,1183,7,3,0,2020-11-26
Anderson,2020-05-30,72,0,1190,7,3,0,2020-11-26
Anderson,2020-05-31,72,0,1191,1,3,0,2020-11-26
Anderson,2020-06-01,72,0,1263,72,3,0,2020-11-26
Anderson,2020-06-02,76,4,1276,13,3,0,2020-11-26
Anderson,2020-06-03,78,2,1311,35,3,0,2020-11-26
Anderson,2020-06-04,85,7,1347,36,3,0,2020-11-26
Anderson,2020-06-05,87,2,1400,53,3,0,2020-11-26
Anderson,2020-06-06,85,-2,1450,50,3,0,2020-11-26
Anderson,2020-06-07,85,0,1599,149,3,0,2020-11-26
Anderson,2020-06-08,85,0,1606,7,3,0,2020-11-26
Anderson,2020-06-09,91,6,1620,14,3,0,2020-11-26
Anderson,2020-06-10,91,0,,,3,0,2020-11-26
Anderson,2020-06-11,95,4,1627,7,3,0,2020-11-26
Anderson,2020-06-12,95,0,1632,5,3,0,2020-11-26
Anderson,2020-06-13,102,7,1634,2,3,0,2020-11-26
Anderson,2020-06-14,102,0,2035,401,3,0,2020-11-26
Anderson,2020-06-15,102,0,2568,533,3,0,2020-11-26
Anderson,2020-06-16,989,887,2679,111,3,0,2020-11-26
Anderson,2020-06-17,990,1,2703,24,3,0,2020-11-26
Anderson,2020-06-18,1003,13,2713,10,3,0,2020-11-26
Anderson,2020-06-19,1007,4,2723,10,3,0,2020-11-26
Anderson,2020-06-20,1006,-1,2736,13,3,0,2020-11-26
Anderson,2020-06-21,1006,0,3309,573,4,1,2020-11-26
Anderson,2020-06-22,1006,0,5058,1749,4,0,2020-11-26
Anderson,2020-06-23,1009,3,5730,672,4,0,2020-11-26
Anderson,2020-06-24,1013,4,5803,73,4,0,2020-11-26
Anderson,2020-06-25,1014,1,6116,313,5,1,2020-11-26
Anderson,2020-06-26,1017,3,6548,432,5,0,2020-11-26
Anderson,2020-06-27,1017,0,6563,15,5,0,2020-11-26
Anderson,2020-06-28,1016,-1,6571,8,5,0,2020-11-26
Anderson,2020-06-29,1016,0,6578,7,5,0,2020-11-26
Anderson,2020-06-30,1032,16,6591,13,5,0,2020-11-26
Anderson,2020-07-01,1040,8,7091,500,6,1,2020-11-26
Anderson,2020-07-02,1063,23,8000,909,6,0,2020-11-26
Anderson,2020-07-03,1072,9,10982,2982,6,0,2020-11-26
Anderson,2020-07-04,1070,-2,11017,35,6,0,2020-11-26
Anderson,2020-07-05,1082,12,11037,20,6,0,2020-11-26
Anderson,2020-07-06,1082,0,11081,44,6,0,2020-11-26
Anderson,2020-07-07,1108,26,11281,200,6,0,2020-11-26
Anderson,2020-07-08,1152,44,11313,32,6,0,2020-11-26
Anderson,2020-07-09,1533,381,11383,70,6,0,2020-11-26
Anderson,2020-07-10,1761,228,11680,297,6,0,2020-11-26
